Accession	GeneName	UnipriotGeneName	MaxLCDLengthPerProtein	DataType
Q9Y365	STARD10	PCTL_HUMAN	16	BACKGROUND
Q96HE9	PRR11	PRR11_HUMAN	21	BACKGROUND
Q9UBQ6	EXTL2	EXTL2_HUMAN	23	BACKGROUND
Q9UBQ7	GRHPR	GRHPR_HUMAN	11	BACKGROUND
Q9BW19	KIFC1	KIFC1_HUMAN	27	BACKGROUND
P30038	ALDH4A1	AL4A1_HUMAN	15	BACKGROUND
Q6UWP8	SBSN	SBSN_HUMAN	23	BACKGROUND
Q6UX15	LAYN	LAYN_HUMAN	19	BACKGROUND
Q6QNY1	BLOC1S2	BL1S2_HUMAN	20	BACKGROUND
Q9Y2Y0	ARL2BP	AR2BP_HUMAN	20	BACKGROUND
Q6QNY0	BLOC1S3	BL1S3_HUMAN	19	BACKGROUND
Q9Y2Y4	ZBTB32	ZBT32_HUMAN	20	BACKGROUND
Q9Y2Y6	TMEM98	TMM98_HUMAN	11	BACKGROUND
Q6UX04	CWC27	CWC27_HUMAN	24	BACKGROUND
Q6UX06	OLFM4	OLFM4_HUMAN	41	BACKGROUND
Q6UX07	DHRS13	DHR13_HUMAN	21	BACKGROUND
Q9UBT7	CTNNAL1	CTNL1_HUMAN	22	BACKGROUND
Q6UX01	LMBR1L	LMBRL_HUMAN	17	BACKGROUND
Q9Y397	ZDHHC9	ZDHC9_HUMAN	28	BACKGROUND
Q9Y2X7	GIT1	GIT1_HUMAN	21	BACKGROUND
Q9Y2X9	ZNF281	ZN281_HUMAN	34	BACKGROUND
Q9UBT6	POLK	POLK_HUMAN	10	BACKGROUND
Q9Y399	MRPS2	RT02_HUMAN	12	PR_ONLY
O43808	SLC25A17	PM34_HUMAN	15	BACKGROUND
Q9UBT2	UBA2	SAE2_HUMAN	18	BACKGROUND
P45381	ASPA	ACY2_HUMAN	13	BACKGROUND
Q9Y2X0	MED16	MED16_HUMAN	12	BACKGROUND
Q9Y394	DHRS7	DHRS7_HUMAN	22	BACKGROUND
Q9Y2X3	NOP58	NOP58_HUMAN	50	BACKGROUND
Q03403	TFF2	TFF2_HUMAN	16	BACKGROUND
Q03405	PLAUR	UPAR_HUMAN	12	BACKGROUND
Q9BVS5	TRMT61B	TR61B_HUMAN	12	BACKGROUND
Q6UWN8	SPINK6	ISK6_HUMAN	12	BACKGROUND
Q6UWN5	LYPD5	LYPD5_HUMAN	22	BACKGROUND
Q5T4W7	ARTN	ARTN_HUMAN	48	BACKGROUND
Q9UBS9	SUCO	SUCO_HUMAN	21	BACKGROUND
Q9UBS8	RNF14	RNF14_HUMAN	14	BACKGROUND
Q6UWN0	LYPD4	LYPD4_HUMAN	5	BACKGROUND
P45378	TNNT3	TNNT3_HUMAN	45	BACKGROUND
Q9UBS5	GABBR1	GABR1_HUMAN	29	BACKGROUND
Q9Y388	RBMX2	RBMX2_HUMAN	40	BACKGROUND
Q9UBS4	DNAJB11	DJB11_HUMAN	18	BACKGROUND
Q9Y2W6	TDRKH	TDRKH_HUMAN	14	BACKGROUND
Q9UBS3	DNAJB9	DNJB9_HUMAN	16	BACKGROUND
Q9Y2W7	KCNIP3	CSEN_HUMAN	11	BACKGROUND
Q9UBS0	RPS6KB2	KS6B2_HUMAN	48	BACKGROUND
P46821	MAP1B	MAP1B_HUMAN	60	BACKGROUND
P45379	TNNT2	TNNT2_HUMAN	60	BACKGROUND
Q9BW71	HIRIP3	HIRP3_HUMAN	22	BACKGROUND
Q9BVV8	C19orf24	CS024_HUMAN	16	BACKGROUND
Q6UWM7	LCTL	LCTL_HUMAN	14	BACKGROUND
Q9BVV6	KIAA0586	TALD3_HUMAN	21	BACKGROUND
Q9BW72	HIGD2A	HIG2A_HUMAN	8	BACKGROUND
Q9BVV2	C20orf195	CT195_HUMAN	13	BACKGROUND
Q9UBV2	SEL1L	SE1L1_HUMAN	25	BACKGROUND
P35858	IGFALS	ALS_HUMAN	20	BACKGROUND
Q9UBV4	WNT16	WNT16_HUMAN	19	BACKGROUND
Q9Y2Z9	COQ6	COQ6_HUMAN	10	BACKGROUND
Q9UBV8	PEF1	PEF1_HUMAN	60	BACKGROUND
Q9UBV7	B4GALT7	B4GT7_HUMAN	16	BACKGROUND
Q96HA7	TONSL	TONSL_HUMAN	31	BACKGROUND
Q3ZAQ7	VMA21	VMA21_HUMAN	22	BACKGROUND
O95793	STAU1	STAU1_HUMAN	41	BACKGROUND
Q96HA9	PEX11G	PX11C_HUMAN	18	BACKGROUND
Q9Y2Z4	YARS2	SYYM_HUMAN	18	BACKGROUND
Q9Y2Z2	MTO1	MTO1_HUMAN	14	BACKGROUND
Q9Y2Z0	SUGT1	SGT1_HUMAN	12	BACKGROUND
Q9BW66	CINP	CINP_HUMAN	14	BACKGROUND
Q03426	MVK	KIME_HUMAN	8	BACKGROUND
Q6UWL6	KIRREL2	KIRR2_HUMAN	24	BACKGROUND
Q9BW62	KATNAL1	KATL1_HUMAN	12	BACKGROUND
Q9UBU9	NXF1	NXF1_HUMAN	16	BACKGROUND
Q03431	PTH1R	PTH1R_HUMAN	32	BACKGROUND
Q9BVT8	TMUB1	TMUB1_HUMAN	20	BACKGROUND
Q6UWL2	SUSD1	SUSD1_HUMAN	29	BACKGROUND
Q9UBU3	GHRL	GHRL_HUMAN	15	BACKGROUND
Q9UBU2	DKK2	DKK2_HUMAN	14	BACKGROUND
Q96HA1	POM121	P121A_HUMAN	51	BACKGROUND
Q9UBU7	DBF4	DBF4A_HUMAN	15	BACKGROUND
Q9UBU6	FAM8A1	FA8A1_HUMAN	16	BACKGROUND
Q96HA4	C1orf159	CA159_HUMAN	19	BACKGROUND
Q9Y2Y8	PRG3	PRG3_HUMAN	9	BACKGROUND
Q9Y2Y9	KLF13	KLF13_HUMAN	32	BACKGROUND
Q9Y6I4	USP3	UBP3_HUMAN	16	BACKGROUND
Q8IZH2	XRN1	XRN1_HUMAN	28	BACKGROUND
Q6P1A2	LPCAT3	MBOA5_HUMAN	13	BACKGROUND
Q9Y6I9	TEX264	TX264_HUMAN	28	BACKGROUND
P01710	null	LV207_HUMAN	12	BACKGROUND
Q96GX9	APIP	MTNB_HUMAN	12	BACKGROUND
Q9Y6I8	PXMP4	PXMP4_HUMAN	16	BACKGROUND
Q96GX8	C16orf74	CP074_HUMAN	9	BACKGROUND
Q5H9R7	PPP6R3	PP6R3_HUMAN	19	BACKGROUND
Q96H96	COQ2	COQ2_HUMAN	25	BACKGROUND
P01713	null	LV210_HUMAN	12	BACKGROUND
Q5H9R4	ARMCX4	ARMX4_HUMAN	12	BACKGROUND
Q9BYB4	GNB1L	GNB1L_HUMAN	9	BACKGROUND
Q07627	KRTAP1-1	KRA11_HUMAN	24	BACKGROUND
P01718	null	LV404_HUMAN	16	BACKGROUND
Q96GX1	TCTN2	TECT2_HUMAN	25	BACKGROUND
P01717	null	LV403_HUMAN	16	BACKGROUND
Q9BYB0	SHANK3	SHAN3_HUMAN	34	BACKGROUND
Q8NA82	MARCH10	MARHA_HUMAN	21	BACKGROUND
Q00839	HNRNPU	HNRPU_HUMAN	39	GR_ONLY
Q6PML9	SLC30A9	ZNT9_HUMAN	19	BACKGROUND
Q9Y6I3	EPN1	EPN1_HUMAN	52	BACKGROUND
Q9Y6J8	STYXL1	STYL1_HUMAN	15	BACKGROUND
P59044	NLRP6	NALP6_HUMAN	28	BACKGROUND
P59045	NLRP11	NAL11_HUMAN	15	BACKGROUND
P59046	NLRP12	NAL12_HUMAN	18	BACKGROUND
P59047	NLRP5	NALP5_HUMAN	39	BACKGROUND
Q96GW7	BCAN	PGCB_HUMAN	31	BACKGROUND
Q96H86	ZNF764	ZN764_HUMAN	16	BACKGROUND
P01700	null	LV102_HUMAN	13	BACKGROUND
Q9Y6J9	TAF6L	TAF6L_HUMAN	24	BACKGROUND
Q07617	SPAG1	SPAG1_HUMAN	21	BACKGROUND
Q9BYC5	FUT8	FUT8_HUMAN	13	BACKGROUND
P32780	GTF2H1	TF2H1_HUMAN	18	BACKGROUND
Q8NA77	TEX19	TEX19_HUMAN	12	BACKGROUND
Q9BYC2	OXCT2	SCOT2_HUMAN	17	BACKGROUND
Q8NA75	DCAF4L2	DC4L2_HUMAN	10	BACKGROUND
Q9Y6J0	CABIN1	CABIN_HUMAN	29	BACKGROUND
Q8NA72	POC5	POC5_HUMAN	60	BACKGROUND
P83859	QRFP	OX26_HUMAN	12	BACKGROUND
Q9Y6J3	null	SMA5O_HUMAN	17	BACKGROUND
Q8NA70	FAM47B	FA47B_HUMAN	10	BACKGROUND
Q8IZF2	GPR116	AGRF5_HUMAN	27	BACKGROUND
P01732	CD8A	CD8A_HUMAN	18	BACKGROUND
Q8IZF3	GPR115	AGRF4_HUMAN	23	BACKGROUND
Q9Y6G9	DYNC1LI1	DC1L1_HUMAN	37	BACKGROUND
P59051	BRWD1-IT2	BRAS2_HUMAN	12	BACKGROUND
Q5T6C5	ATXN7L2	AT7L2_HUMAN	20	BACKGROUND
Q8IZF4	GPR114	AGRG5_HUMAN	15	BACKGROUND
Q8IZF5	GPR113	AGRF3_HUMAN	27	BACKGROUND
P01730	CD4	CD4_HUMAN	21	BACKGROUND
Q9Y6G5	COMMD10	COMDA_HUMAN	10	BACKGROUND
Q8IZF0	NALCN	NALCN_HUMAN	16	BACKGROUND
Q96H79	ZC3HAV1L	ZCCHL_HUMAN	32	BACKGROUND
P0DMB1	PRR23D2	P23D2_HUMAN	14	BACKGROUND
P0DMB2	C8orf88	CH088_HUMAN	5	BACKGROUND
Q8IZF6	GPR112	AGRG4_HUMAN	27	BACKGROUND
Q8IZF7	GPR111	AGRF2_HUMAN	18	BACKGROUND
Q96H72	SLC39A13	S39AD_HUMAN	15	BACKGROUND
Q8NA69	C19orf45	CS045_HUMAN	9	BACKGROUND
Q6SPF0	SAMD1	SAMD1_HUMAN	60	BACKGROUND
Q9Y6G1	TMEM14A	TM14A_HUMAN	14	BACKGROUND
Q8NA61	SPERT	SPERT_HUMAN	17	BACKGROUND
Q4G0Z9	MCMDC2	MCMD2_HUMAN	19	BACKGROUND
Q8IZE3	SCYL3	PACE1_HUMAN	25	BACKGROUND
P01722	null	LV602_HUMAN	12	BACKGROUND
Q9Y6H8	GJA3	CXA3_HUMAN	22	BACKGROUND
Q9Y6H5	SNCAIP	SNCAP_HUMAN	22	BACKGROUND
P0DMC3	RP11-366M4.3	ELA_HUMAN	19	BACKGROUND
A7MBM2	DISP2	DISP2_HUMAN	28	BACKGROUND
Q8NA56	TTC29	TTC29_HUMAN	14	BACKGROUND
Q8NA54	IQUB	IQUB_HUMAN	15	BACKGROUND
Q8NA58	PNLDC1	PNDC1_HUMAN	11	BACKGROUND
Q8NA57	C12orf50	CL050_HUMAN	5	BACKGROUND
Q9Y6H1	CHCHD2	CHCH2_HUMAN	47	GR_ONLY
P61201	COPS2	CSN2_HUMAN	27	BACKGROUND
Q9Y6E0	STK24	STK24_HUMAN	28	BACKGROUND
Q9Y6E2	BZW2	BZW2_HUMAN	10	BACKGROUND
C9JG80	RP11-645C24.1	NPIB4_HUMAN	25	BACKGROUND
Q8IZL9	CDK20	CDK20_HUMAN	13	BACKGROUND
Q8IZL8	PELP1	PELP1_HUMAN	60	BACKGROUND
P59074	null	CHM4P_HUMAN	18	BACKGROUND
Q14190	SIM2	SIM2_HUMAN	41	BACKGROUND
Q14191	WRN	WRN_HUMAN	21	BACKGROUND
Q68EN5	KIAA0895L	K895L_HUMAN	27	BACKGROUND
Q14194	CRMP1	DPYL1_HUMAN	24	BACKGROUND
Q14195	DPYSL3	DPYL3_HUMAN	13	BACKGROUND
Q14197	ICT1	ICT1_HUMAN	13	BACKGROUND
Q13105	ZBTB17	ZBT17_HUMAN	21	BACKGROUND
Q9Y6F9	WNT6	WNT6_HUMAN	30	BACKGROUND
Q13103	SPP2	SPP24_HUMAN	14	BACKGROUND
P61218	POLR2F	RPAB2_HUMAN	35	BACKGROUND
Q13107	USP4	UBP4_HUMAN	17	BACKGROUND
Q8IZK6	MCOLN2	MCLN2_HUMAN	14	BACKGROUND
Q9Y6F1	PARP3	PARP3_HUMAN	16	BACKGROUND
P0DME0	SETSIP	SETLP_HUMAN	54	BACKGROUND
Q9Y6F7	CDY2A	CDY2_HUMAN	8	BACKGROUND
Q0VAA5	PLCXD2	PLCX2_HUMAN	14	BACKGROUND
Q9Y6F8	CDY1B	CDY1_HUMAN	8	BACKGROUND
Q9Y6F6	MRVI1	MRVI1_HUMAN	35	BACKGROUND
Q8IZL2	MAML2	MAML2_HUMAN	60	BACKGROUND
P29017	CD1C	CD1C_HUMAN	15	BACKGROUND
P29016	CD1B	CD1B_HUMAN	19	BACKGROUND
Q13112	CHAF1B	CAF1B_HUMAN	19	BACKGROUND
Q13111	CHAF1A	CAF1A_HUMAN	60	BACKGROUND
Q68EM7	ARHGAP17	RHG17_HUMAN	60	BACKGROUND
P59090	C21orf90	TSAS2_HUMAN	10	BACKGROUND
P59091	null	CU093_HUMAN	11	BACKGROUND
Q96GZ6	SLC41A3	S41A3_HUMAN	18	BACKGROUND
Q9Y6C2	EMILIN1	EMIL1_HUMAN	51	BACKGROUND
Q5H9L2	TCEAL5	TCAL5_HUMAN	16	BACKGROUND
P59095	STARD6	STAR6_HUMAN	14	BACKGROUND
Q9Y6C5	PTCH2	PTC2_HUMAN	26	BACKGROUND
Q8IZJ3	CPAMD8	CPMD8_HUMAN	13	BACKGROUND
Q5H9L4	TAF7L	TAF7L_HUMAN	29	BACKGROUND
Q8IZJ4	RGL4	RGDSR_HUMAN	24	BACKGROUND
Q3L8U1	CHD9	CHD9_HUMAN	60	BACKGROUND
Q96GY0	ZC2HC1A	ZC21A_HUMAN	20	BACKGROUND
Q5T6F2	UBAP2	UBAP2_HUMAN	60	BACKGROUND
Q96GY3	LIN37	LIN37_HUMAN	19	BACKGROUND
B0YJ81	HACD1	HACD1_HUMAN	28	BACKGROUND
Q9Y6D9	MAD1L1	MD1L1_HUMAN	20	BACKGROUND
Q8IZI9	IL28B	IFNL3_HUMAN	15	BACKGROUND
Q9Y6D5	ARFGEF2	BIG2_HUMAN	14	BACKGROUND
Q9Y6D6	ARFGEF1	BIG1_HUMAN	21	BACKGROUND
Q5H9M0	MUM1L1	MUML1_HUMAN	13	BACKGROUND
Q9Y6D0	SELK	SELK_HUMAN	14	BACKGROUND
Q8IZJ0	IL28A	IFNL2_HUMAN	17	BACKGROUND
Q8IZJ1	UNC5B	UNC5B_HUMAN	21	BACKGROUND
Q8NA92	THAP8	THAP8_HUMAN	15	BACKGROUND
Q14181	POLA2	DPOA2_HUMAN	18	BACKGROUND
Q8NA96	null	YE027_HUMAN	27	BACKGROUND
Q14185	DOCK1	DOCK1_HUMAN	30	BACKGROUND
Q14186	TFDP1	TFDP1_HUMAN	16	BACKGROUND
Q14183	DOC2A	DOC2A_HUMAN	32	BACKGROUND
Q14184	DOC2B	DOC2B_HUMAN	32	BACKGROUND
Q14188	TFDP2	TFDP2_HUMAN	25	BACKGROUND
Q9BYJ4	TRIM34	TRI34_HUMAN	20	BACKGROUND
Q15287	RNPS1	RNPS1_HUMAN	60	BACKGROUND
Q9Y6Q2	STON1-GTF2A1L	STON1_HUMAN	15	BACKGROUND
Q13144	EIF2B5	EI2BE_HUMAN	24	BACKGROUND
Q15283	RASA2	RASA2_HUMAN	25	BACKGROUND
Q9Y6Q3	ZFP37	ZFP37_HUMAN	24	BACKGROUND
Q13145	BAMBI	BAMBI_HUMAN	18	BACKGROUND
Q5T6M2	null	CF122_HUMAN	18	BACKGROUND
Q9BYJ9	YTHDF1	YTHD1_HUMAN	43	BACKGROUND
Q15286	RAB35	RAB35_HUMAN	20	BACKGROUND
Q9Y6Q6	TNFRSF11A	TNR11_HUMAN	27	BACKGROUND
Q8IZQ1	WDFY3	WDFY3_HUMAN	21	BACKGROUND
Q9BYJ0	FGFBP2	FGFP2_HUMAN	15	BACKGROUND
Q8IZQ8	MYOCD	MYCD_HUMAN	22	BACKGROUND
Q8IZQ5	C11orf31	SELH_HUMAN	18	BACKGROUND
Q9Y6Q9	NCOA3	NCOA3_HUMAN	29	BACKGROUND
Q96GP6	SCARF2	SREC2_HUMAN	32	BACKGROUND
Q96H15	TIMD4	TIMD4_HUMAN	47	BACKGROUND
Q8IZP9	GPR64	AGRG2_HUMAN	30	BACKGROUND
P33151	CDH5	CADH5_HUMAN	22	BACKGROUND
P61244	MAX	MAX_HUMAN	15	BACKGROUND
Q96H12	MSANTD3	MSD3_HUMAN	13	BACKGROUND
P61247	RPS3A	RS3A_HUMAN	10	GRPR
Q13137	CALCOCO2	CACO2_HUMAN	10	BACKGROUND
Q13136	PPFIA1	LIPA1_HUMAN	28	BACKGROUND
Q13151	HNRNPA0	ROA0_HUMAN	48	BACKGROUND
P46597	ASMT	ASMT_HUMAN	12	BACKGROUND
Q9Y6R0	NUMBL	NUMBL_HUMAN	27	BACKGROUND
Q13153	PAK1	PAK1_HUMAN	25	BACKGROUND
Q9Y6R1	SLC4A4	S4A4_HUMAN	20	BACKGROUND
Q13155	AIMP2	AIMP2_HUMAN	14	BACKGROUND
Q9BYK8	HELZ2	HELZ2_HUMAN	20	BACKGROUND
Q9Y6R4	MAP3K4	M3K4_HUMAN	23	BACKGROUND
Q13156	RPA4	RFA4_HUMAN	17	BACKGROUND
Q8IZP1	null	TBC3A_HUMAN	29	BACKGROUND
Q8IZP0	ABI1	ABI1_HUMAN	28	BACKGROUND
Q15293	RCN1	RCN1_HUMAN	28	BACKGROUND
Q9Y6R7	FCGBP	FCGBP_HUMAN	17	BACKGROUND
Q15291	RBBP5	RBBP5_HUMAN	15	BACKGROUND
Q9Y6R9	CCDC61	CCD61_HUMAN	60	BACKGROUND
Q8IZP7	HS6ST3	H6ST3_HUMAN	60	BACKGROUND
Q96GN5	CDCA7L	CDA7L_HUMAN	22	BACKGROUND
Q8IZP6	RNF113B	R113B_HUMAN	15	BACKGROUND
P61254	RPL26	RL26_HUMAN	15	BACKGROUND
Q13148	TARDBP	TADBP_HUMAN	43	BACKGROUND
Q5T6L9	C6orf70	EMARD_HUMAN	21	BACKGROUND
Q15262	PTPRK	PTPRK_HUMAN	25	BACKGROUND
Q13123	IK	RED_HUMAN	47	BACKGROUND
Q9BYH8	NFKBIZ	IKBZ_HUMAN	50	BACKGROUND
Q9BYH1	SEZ6L	SE6L1_HUMAN	25	BACKGROUND
Q4G1C9	GLIPR1L2	GRPL2_HUMAN	53	BACKGROUND
Q4ZIN3	TMEM259	MBRL_HUMAN	38	BACKGROUND
Q96GM5	SMARCD1	SMRD1_HUMAN	27	BACKGROUND
Q96GM8	TOE1	TOE1_HUMAN	21	BACKGROUND
P33121	ACSL1	ACSL1_HUMAN	12	BACKGROUND
P61221	ABCE1	ABCE1_HUMAN	16	BACKGROUND
Q8IZN7	DEFB107B	D107A_HUMAN	18	BACKGROUND
Q13118	KLF10	KLF10_HUMAN	30	BACKGROUND
P23497	SP100	SP100_HUMAN	27	BACKGROUND
Q13117	DAZ2	DAZ2_HUMAN	19	BACKGROUND
P61225	RAP2B	RAP2B_HUMAN	13	BACKGROUND
Q13115	DUSP4	DUS4_HUMAN	19	BACKGROUND
Q13113	PDZK1IP1	PDZ1I_HUMAN	17	BACKGROUND
P61224	RAP1B	RAP1B_HUMAN	13	BACKGROUND
Q13131	PRKAA1	AAPK1_HUMAN	20	BACKGROUND
Q15274	QPRT	NADC_HUMAN	20	BACKGROUND
Q13133	NR1H3	NR1H3_HUMAN	15	BACKGROUND
Q00888	PSG4	PSG4_HUMAN	12	BACKGROUND
P23490	LOR	LORI_HUMAN	60	BACKGROUND
Q9BYI3	FAM126A	HYCCI_HUMAN	21	BACKGROUND
Q15276	RABEP1	RABE1_HUMAN	14	BACKGROUND
Q8IZN3	ZDHHC14	ZDH14_HUMAN	15	BACKGROUND
Q96GL9	FAM163A	F163A_HUMAN	6	BACKGROUND
Q15270	NKX1-1	NKX11_HUMAN	59	BACKGROUND
Q00889	PSG6	PSG6_HUMAN	14	BACKGROUND
Q8IZM9	SLC38A6	S38A6_HUMAN	17	BACKGROUND
Q96GM1	LPPR2	LPPR2_HUMAN	15	BACKGROUND
Q8IZM8	ZNF654	ZN654_HUMAN	20	BACKGROUND
Q0VAK6	LMOD3	LMOD3_HUMAN	33	BACKGROUND
Q13129	RLF	RLF_HUMAN	27	BACKGROUND
Q15269	LOC102724159	PWP2_HUMAN	17	BACKGROUND
Q13127	REST	REST_HUMAN	30	BACKGROUND
Q8IZU8	DSEL	DSEL_HUMAN	20	BACKGROUND
P0DML2	CSH1	CSH1_HUMAN	16	BACKGROUND
P31689	DNAJA1	DNJA1_HUMAN	17	GR_ONLY
Q9Y6M1	IGF2BP2	IF2B2_HUMAN	14	PR_ONLY
Q9Y6M0	PRSS21	TEST_HUMAN	21	BACKGROUND
Q9Y6M7	SLC4A7	S4A7_HUMAN	33	BACKGROUND
Q9Y6M5	SLC30A1	ZNT1_HUMAN	24	BACKGROUND
Q8IZU9	KIRREL3	KIRR3_HUMAN	18	BACKGROUND
Q9Y6M4	CSNK1G3	KC1G3_HUMAN	12	BACKGROUND
Q13185	CBX3	CBX3_HUMAN	27	BACKGROUND
Q00872	MYBPC1	MYPC1_HUMAN	23	BACKGROUND
Q8IZU0	FAM9B	FAM9B_HUMAN	29	BACKGROUND
Q9BYF1	ACE2	ACE2_HUMAN	23	BACKGROUND
Q13183	SLC13A2	S13A2_HUMAN	18	BACKGROUND
Q8IZU3	SYCP3	SYCP3_HUMAN	14	BACKGROUND
Q13188	STK3	STK3_HUMAN	24	BACKGROUND
Q8IZU1	FAM9A	FAM9A_HUMAN	60	BACKGROUND
B4DJY2	TMEM233	TM233_HUMAN	15	BACKGROUND
Q96GT9	XAGE2B	XAGE2_HUMAN	15	BACKGROUND
Q96H55	MYO19	MYO19_HUMAN	16	BACKGROUND
P0DML3	CSH1	CSH2_HUMAN	16	BACKGROUND
Q6WRI0	IGSF10	IGS10_HUMAN	29	BACKGROUND
Q8IZT6	ASPM	ASPM_HUMAN	19	BACKGROUND
Q9Y6N3	null	CLCA3_HUMAN	25	BACKGROUND
Q13190	STX5	STX5_HUMAN	16	BACKGROUND
Q8IZT8	HS3ST5	HS3S5_HUMAN	17	BACKGROUND
Q9Y6N6	LAMC3	LAMC3_HUMAN	31	BACKGROUND
Q8IZT9	FAM9C	FAM9C_HUMAN	24	BACKGROUND
Q9Y6N8	CDH10	CAD10_HUMAN	22	BACKGROUND
Q13191	CBLB	CBLB_HUMAN	26	BACKGROUND
Q9Y6N7	ROBO1	ROBO1_HUMAN	20	BACKGROUND
Q9BYG3	MKI67IP	MK67I_HUMAN	22	BACKGROUND
Q9BYG4	PARD6G	PAR6G_HUMAN	20	BACKGROUND
Q9BYG5	PARD6B	PAR6B_HUMAN	21	BACKGROUND
Q9Y6N9	USH1C	USH1C_HUMAN	19	BACKGROUND
P0DMM9	LOC101929857	ST1A3_HUMAN	11	BACKGROUND
Q96GS6	ABHD17A	AB17A_HUMAN	16	BACKGROUND
Q96GS4	C17orf59	CQ059_HUMAN	29	BACKGROUND
P61296	HAND2	HAND2_HUMAN	22	BACKGROUND
P01744	null	HV104_HUMAN	5	BACKGROUND
Q8NAC3	IL17RC	I17RC_HUMAN	22	BACKGROUND
P01781	null	HV320_HUMAN	11	BACKGROUND
Q9Y6K5	OAS3	OAS3_HUMAN	23	BACKGROUND
P0DMN0	LOC101929857	ST1A4_HUMAN	11	BACKGROUND
P01780	null	HV319_HUMAN	12	BACKGROUND
Q8IZS8	CACNA2D3	CA2D3_HUMAN	26	BACKGROUND
Q9Y6K1	DNMT3A	DNM3A_HUMAN	27	BACKGROUND
Q8IZS5	OFCC1	OFCC1_HUMAN	16	BACKGROUND
Q5T700	LDLRAD1	LRAD1_HUMAN	27	BACKGROUND
P29084	GTF2E2	T2EB_HUMAN	19	BACKGROUND
P29083	GTF2E1	T2EA_HUMAN	16	BACKGROUND
Q9BYD2	MRPL9	RM09_HUMAN	16	BACKGROUND
Q13164	MAPK7	MK07_HUMAN	41	BACKGROUND
Q13162	PRDX4	PRDX4_HUMAN	12	BACKGROUND
Q9BYD6	MRPL1	RM01_HUMAN	30	BACKGROUND
P84550	SKOR1	SKOR1_HUMAN	44	BACKGROUND
Q13158	FADD	FADD_HUMAN	23	BACKGROUND
P61266	STX1B	STX1B_HUMAN	14	BACKGROUND
Q5H9T9	FSCB	FSCB_HUMAN	60	BACKGROUND
Q8NAB2	KBTBD3	KBTB3_HUMAN	14	BACKGROUND
Q96GR4	ZDHHC12	ZDH12_HUMAN	32	BACKGROUND
Q0VAF6	SYCN	SYCN_HUMAN	8	BACKGROUND
Q9Y6K8	AK5	KAD5_HUMAN	14	BACKGROUND
Q9Y6K9	IKBKG	NEMO_HUMAN	30	BACKGROUND
P01772	null	HV311_HUMAN	17	BACKGROUND
Q9Y6L6	SLCO1B1	SO1B1_HUMAN	18	BACKGROUND
P01770	null	HV309_HUMAN	15	BACKGROUND
Q8IZR5	CMTM4	CKLF4_HUMAN	11	BACKGROUND
Q9BYE4	SPRR2G	SPR2G_HUMAN	60	BACKGROUND
Q9BYE2	TMPRSS13	TMPSD_HUMAN	44	BACKGROUND
Q9BYE3	LCE3D	LCE3D_HUMAN	28	BACKGROUND
Q13177	PAK2	PAK2_HUMAN	21	BACKGROUND
Q9BYE0	HES7	HES7_HUMAN	33	BACKGROUND
Q9BYE9	CDHR2	CDHR2_HUMAN	23	BACKGROUND
P01768	null	HV307_HUMAN	18	BACKGROUND
P01769	null	HV308_HUMAN	14	BACKGROUND
Q9BYE7	PCGF6	PCGF6_HUMAN	31	BACKGROUND
P59020	null	DSCR9_HUMAN	15	BACKGROUND
Q5H9U9	DDX60L	DDX6L_HUMAN	16	BACKGROUND
Q96H20	SNF8	SNF8_HUMAN	15	BACKGROUND
Q9Y6L7	TLL2	TLL2_HUMAN	22	BACKGROUND
Q8NAA4	ATG16L2	A16L2_HUMAN	29	BACKGROUND
P01760	null	HV105_HUMAN	5	BACKGROUND
Q96GQ7	DDX27	DDX27_HUMAN	22	BACKGROUND
P01762	null	HV301_HUMAN	14	BACKGROUND
Q8NAA5	LRRC75A	LR75A_HUMAN	17	BACKGROUND
Q96GQ5	C16orf58	RUS1_HUMAN	17	BACKGROUND
Q9BYT1	SLC17A9	S17A9_HUMAN	19	BACKGROUND
Q9BYT3	STK33	STK33_HUMAN	12	BACKGROUND
P0DMQ9	C8orf89	CH089_HUMAN	10	BACKGROUND
Q9Y5Y4	PTGDR2	PD2R2_HUMAN	29	BACKGROUND
Q9Y5Y3	GPR45	GPR45_HUMAN	17	BACKGROUND
Q15327	ANKRD1	ANKR1_HUMAN	15	BACKGROUND
Q15326	ZMYND11	ZMY11_HUMAN	19	BACKGROUND
Q9Y5Y0	FLVCR1	FLVC1_HUMAN	12	BACKGROUND
Q15329	E2F5	E2F5_HUMAN	44	BACKGROUND
Q9Y698	CACNG2	CCG2_HUMAN	16	BACKGROUND
Q8IZX4	TAF1L	TAF1L_HUMAN	39	BACKGROUND
Q14201	BTG3	BTG3_HUMAN	15	BACKGROUND
Q9Y697	NFS1	NFS1_HUMAN	25	BACKGROUND
Q5H9B9	null	BM2KL_HUMAN	19	BACKGROUND
Q06455	RUNX1T1	MTG8_HUMAN	29	BACKGROUND
Q9Y5X4	NR2E3	NR2E3_HUMAN	15	BACKGROUND
C9JFL3	PHGR1	PHGR1_HUMAN	60	BACKGROUND
Q9Y694	SLC22A7	S22A7_HUMAN	26	BACKGROUND
Q15334	LLGL1	L2GL1_HUMAN	23	BACKGROUND
Q9Y5X5	NPFFR2	NPFF2_HUMAN	15	BACKGROUND
Q96GF1	RNF185	RN185_HUMAN	31	BACKGROUND
